spatial_cell,archetype_id,archetype_name,lifecycle_state,hotspot_text,mean_poi,cis,propagation_score,enforcement_failure_index,final_priority_score,forecast_next_poi,pred_high_risk_prob
cell_12.902_77.661,1,Night Spillovers,Stable,Spatial Cell cell_12.902_77.661. Archetype: Night Spillovers. Lifecycle State: Stable. Average Parking Impact Score 0.66. Congestion Impact Score 20.77. Propagation Score 10.59. Enforcement Failure Index 35.90. Priority Score 33.95. Recommended Action: Night patrol + camera monitoring.,0.658369593077525,20.77309365404299,10.59365404298874,35.90276356192425,33.94933469805527,0.5468839120351277,0.005093706501171015
cell_12.902_77.676,1,Night Spillovers,Declining,Spatial Cell cell_12.902_77.676. Archetype: Night Spillovers. Lifecycle State: Declining. Average Parking Impact Score 0.68. Congestion Impact Score 17.30. Propagation Score 12.54. Enforcement Failure Index 21.20. Priority Score 23.64. Recommended Action: Night patrol + camera monitoring.,0.6759709101347364,17.30456755373593,12.53838280450358,21.19946264073695,23.64150460593654,0.678379908902798,0.0053316927992079375
cell_12.902_77.688,1,Night Spillovers,Stable,Spatial Cell cell_12.902_77.688. Archetype: Night Spillovers. Lifecycle State: Stable. Average Parking Impact Score 1.13. Congestion Impact Score 54.26. Propagation Score 56.81. Enforcement Failure Index 53.33. Priority Score 48.38. Recommended Action: Night patrol + camera monitoring.,1.1251316546831975,54.264329580348004,56.80655066530195,53.33482599795292,48.376407369498466,1.1251316546831975,0.0
cell_12.902_77.707,1,Night Spillovers,Stable,Spatial Cell cell_12.902_77.707. Archetype: Night Spillovers. Lifecycle State: Stable. Average Parking Impact Score 0.75. Congestion Impact Score 23.71. Propagation Score 25.27. Enforcement Failure Index 29.90. Priority Score 25.90. Recommended Action: Night patrol + camera monitoring.,0.7537718023763802,23.714815762538382,25.268679631525075,29.904042988741043,25.89521494370522,0.7537718023763802,0.0
cell_12.902_77.708,1,Night Spillovers,Stable,Spatial Cell cell_12.902_77.708. Archetype: Night Spillovers. Lifecycle State: Stable. Average Parking Impact Score 0.89. Congestion Impact Score 36.92. Propagation Score 36.30. Enforcement Failure Index 40.49. Priority Score 42.55. Recommended Action: Night patrol + camera monitoring.,0.8873783670558818,36.91562180143295,36.29733879222108,40.493858751279426,42.54912998976459,0.8959357831363377,0.00653002148887408
cell_12.902_77.709,1,Night Spillovers,Stable,Spatial Cell cell_12.902_77.709. Archetype: Night Spillovers. Lifecycle State: Stable. Average Parking Impact Score 0.79. Congestion Impact Score 30.72. Propagation Score 28.38. Enforcement Failure Index 35.82. Priority Score 32.44. Recommended Action: Night patrol + camera monitoring.,0.7943204229780906,30.716798874104406,28.37768679631525,35.8235670419652,32.43679631525077,0.7943204229780906,0.0
cell_12.903_77.519,1,Night Spillovers,Stable,Spatial Cell cell_12.903_77.519. Archetype: Night Spillovers. Lifecycle State: Stable. Average Parking Impact Score 0.56. Congestion Impact Score 11.11. Propagation Score 4.38. Enforcement Failure Index 21.54. Priority Score 15.35. Recommended Action: Night patrol + camera monitoring.,0.5596157879354227,11.10926305015353,4.375639713408392,21.541709314227226,15.349155578300921,0.5596157879354227,0.0
cell_12.903_77.545,4,Freight Obstruction Corridors,Stable,Spatial Cell cell_12.903_77.545. Archetype: Freight Obstruction Corridors. Lifecycle State: Stable. Average Parking Impact Score 0.32. Congestion Impact Score 7.66. Propagation Score 0.01. Enforcement Failure Index 19.32. Priority Score 14.08. Recommended Action: Heavy-vehicle enforcement + loading control.,0.3184537311185346,7.655770214943705,0.0127942681678608,19.317297850562948,14.080245649948825,0.3184537311185346,0.0
cell_12.903_77.573,1,Night Spillovers,Stable,Spatial Cell cell_12.903_77.573. Archetype: Night Spillovers. Lifecycle State: Stable. Average Parking Impact Score 0.75. Congestion Impact Score 22.98. Propagation Score 17.02. Enforcement Failure Index 27.87. Priority Score 23.75. Recommended Action: Night patrol + camera monitoring.,0.7537718023763802,22.983943193449335,17.01637666325486,27.86591606960082,23.750383828045038,0.7537718023763802,0.0
cell_12.903_77.578,0,Junction Choke Points,Stable,Spatial Cell cell_12.903_77.578. Archetype: Junction Choke Points. Lifecycle State: Stable. Average Parking Impact Score 1.80. Congestion Impact Score 79.36. Propagation Score 88.27. Enforcement Failure Index 67.73. Priority Score 80.27. Recommended Action: Immediate patrol + tow readiness.,1.8021222562636017,79.36092630501535,88.26765609007164,67.73426305015353,80.26550665301944,1.8021222562636017,0.0
