spatial_cell,embedding_row,archetype_name
cell_12.883_77.596,356,Night Spillovers
cell_12.883_77.607,357,Night Spillovers
cell_12.883_77.61,358,Night Spillovers
cell_12.883_77.636,359,Junction Choke Points
cell_12.883_77.637,360,Junction Choke Points
cell_12.883_77.638,361,Freight Obstruction Corridors
cell_12.883_77.64,362,Freight Obstruction Corridors
cell_12.883_77.641,363,Freight Obstruction Corridors
cell_12.883_77.642,364,Freight Obstruction Corridors
cell_12.883_77.643,365,Freight Obstruction Corridors
cell_12.883_77.644,366,Mixed Risk Zone
cell_12.883_77.647,367,Freight Obstruction Corridors
cell_12.883_77.649,368,Freight Obstruction Corridors
cell_12.883_77.65,369,Night Spillovers
cell_12.883_77.752,370,Night Spillovers
cell_12.883_77.753,371,Night Spillovers
cell_12.884_77.502,372,Night Spillovers
cell_12.884_77.549,373,Night Spillovers
cell_12.884_77.55,374,Night Spillovers
cell_12.884_77.551,375,Night Spillovers
cell_12.884_77.596,376,Mixed Risk Zone
cell_12.884_77.597,377,Night Spillovers
cell_12.884_77.598,378,Night Spillovers
cell_12.884_77.599,379,Night Spillovers
cell_12.884_77.6,380,Night Spillovers
cell_12.884_77.636,381,Night Spillovers
cell_12.884_77.639,382,Freight Obstruction Corridors
cell_12.884_77.64,383,Freight Obstruction Corridors
cell_12.884_77.641,384,Junction Choke Points
cell_12.884_77.642,385,Freight Obstruction Corridors
cell_12.884_77.643,386,Freight Obstruction Corridors
cell_12.884_77.644,387,Night Spillovers
cell_12.884_77.751,388,Night Spillovers
cell_12.884_77.752,389,Night Spillovers
cell_12.884_77.753,390,Freight Obstruction Corridors
cell_12.885_77.555,391,Night Spillovers
cell_12.885_77.57,392,Mixed Risk Zone
cell_12.885_77.596,393,Night Spillovers
cell_12.885_77.602,394,Night Spillovers
cell_12.885_77.635,395,Junction Choke Points
cell_12.885_77.637,396,Freight Obstruction Corridors
cell_12.885_77.641,397,Night Spillovers
cell_12.885_77.642,398,Freight Obstruction Corridors
cell_12.885_77.643,399,Freight Obstruction Corridors
cell_12.885_77.747,400,Night Spillovers
cell_12.886_77.556,401,Freight Obstruction Corridors
cell_12.886_77.557,402,Night Spillovers
cell_12.886_77.56,403,Night Spillovers
cell_12.886_77.561,404,Night Spillovers
cell_12.886_77.562,405,Night Spillovers
cell_12.886_77.571,406,Mixed Risk Zone
cell_12.886_77.597,407,Night Spillovers
cell_12.886_77.598,408,Night Spillovers
cell_12.886_77.636,409,Night Spillovers
cell_12.886_77.638,410,Freight Obstruction Corridors
cell_12.886_77.639,411,Freight Obstruction Corridors
cell_12.886_77.64,412,Freight Obstruction Corridors
cell_12.886_77.641,413,Night Spillovers
cell_12.886_77.642,414,Freight Obstruction Corridors
cell_12.886_77.649,415,Night Spillovers
cell_12.886_77.651,416,Night Spillovers
cell_12.886_77.656,417,Freight Obstruction Corridors
cell_12.886_77.738,418,Freight Obstruction Corridors
cell_12.887_77.538,419,Night Spillovers
cell_12.887_77.561,420,Night Spillovers
cell_12.887_77.562,421,Night Spillovers
cell_12.887_77.563,422,Night Spillovers
cell_12.887_77.565,423,Night Spillovers
cell_12.887_77.566,424,Night Spillovers
cell_12.887_77.596,425,Night Spillovers
cell_12.887_77.597,426,Night Spillovers
cell_12.887_77.64,427,Freight Obstruction Corridors
cell_12.887_77.641,428,Freight Obstruction Corridors
cell_12.887_77.642,429,Mixed Risk Zone
cell_12.887_77.649,430,Night Spillovers
cell_12.887_77.65,431,Junction Choke Points
cell_12.887_77.651,432,Junction Choke Points
cell_12.887_77.738,433,Night Spillovers
cell_12.887_77.739,434,Night Spillovers
cell_12.888_77.562,435,Night Spillovers
cell_12.888_77.563,436,Night Spillovers
cell_12.888_77.564,437,Night Spillovers
cell_12.888_77.571,438,Mixed Risk Zone
cell_12.888_77.582,439,Night Spillovers
cell_12.888_77.592,440,Night Spillovers
cell_12.888_77.597,441,Night Spillovers
cell_12.888_77.639,442,Night Spillovers
cell_12.888_77.64,443,Freight Obstruction Corridors
cell_12.888_77.641,444,Freight Obstruction Corridors
cell_12.888_77.642,445,Freight Obstruction Corridors
cell_12.888_77.646,446,Junction Choke Points
cell_12.888_77.65,447,Junction Choke Points
cell_12.888_77.738,448,Night Spillovers
cell_12.888_77.739,449,Night Spillovers
cell_12.889_77.562,450,Night Spillovers
cell_12.889_77.563,451,Night Spillovers
cell_12.889_77.564,452,Night Spillovers
cell_12.889_77.611,453,Night Spillovers
cell_12.889_77.626,454,Mixed Risk Zone
cell_12.889_77.636,455,Mixed Risk Zone
cell_12.889_77.639,456,Night Spillovers
cell_12.889_77.64,457,Night Spillovers
cell_12.889_77.641,458,Freight Obstruction Corridors
cell_12.889_77.65,459,Freight Obstruction Corridors
cell_12.889_77.671,460,Freight Obstruction Corridors
cell_12.889_77.672,461,Freight Obstruction Corridors
cell_12.889_77.673,462,Night Spillovers
cell_12.88_77.544,463,Night Spillovers
cell_12.88_77.545,464,Night Spillovers
cell_12.88_77.546,465,Night Spillovers
cell_12.88_77.552,466,Night Spillovers
cell_12.88_77.595,467,Night Spillovers
cell_12.88_77.625,468,Mixed Risk Zone
cell_12.88_77.639,469,Mixed Risk Zone
cell_12.88_77.64,470,Night Spillovers
cell_12.88_77.641,471,Freight Obstruction Corridors
cell_12.88_77.644,472,Freight Obstruction Corridors
cell_12.88_77.645,473,Night Spillovers
cell_12.88_77.646,474,Freight Obstruction Corridors
cell_12.88_77.672,475,Night Spillovers
cell_12.891_77.564,476,Night Spillovers
cell_12.891_77.565,477,Night Spillovers
cell_12.891_77.571,478,Night Spillovers
cell_12.891_77.572,479,Night Spillovers
cell_12.891_77.582,480,Night Spillovers
cell_12.891_77.594,481,Night Spillovers
cell_12.891_77.595,482,Night Spillovers
cell_12.891_77.596,483,Night Spillovers
cell_12.891_77.598,484,Night Spillovers
cell_12.891_77.599,485,Night Spillovers
cell_12.891_77.607,486,Night Spillovers
cell_12.891_77.638,487,Freight Obstruction Corridors
cell_12.891_77.639,488,Junction Choke Points
cell_12.891_77.645,489,Night Spillovers
cell_12.891_77.668,490,Freight Obstruction Corridors
cell_12.892_77.564,491,Night Spillovers
cell_12.892_77.572,492,Night Spillovers
cell_12.892_77.573,493,Night Spillovers
cell_12.892_77.58,494,Night Spillovers
cell_12.892_77.581,495,Freight Obstruction Corridors
cell_12.892_77.582,496,Night Spillovers
cell_12.892_77.598,497,Freight Obstruction Corridors
cell_12.892_77.599,498,Night Spillovers
cell_12.892_77.605,499,Mixed Risk Zone
