spatial_cell,hour,avg_poi,avg_violations
cell_12.858_77.589,23.0,0.5596157879354227,2
cell_12.859_77.589,20.0,0.9886113934537812,2
cell_12.859_77.59,1.0,0.44628710262841953,1
cell_12.859_77.59,8.0,0.5596157879354227,1
cell_12.859_77.703,4.0,1.075481794940609,6
cell_12.859_77.703,23.0,0.9886113934537812,1
cell_12.85_77.589,6.0,0.7537718023763802,1
cell_12.85_77.652,21.0,0.9886113934537812,1
cell_12.85_77.658,6.0,0.7064483819529178,6
cell_12.85_77.658,7.0,0.44628710262841953,1
cell_12.861_77.529,5.0,0.3184537311185346,1
cell_12.861_77.529,6.0,1.1521357710922082,10
cell_12.861_77.529,21.0,0.7537718023763802,1
cell_12.861_77.529,22.0,0.7262017493108062,4
cell_12.861_77.53,6.0,0.9645045062605725,3
cell_12.861_77.53,21.0,0.9103315297613142,3
cell_12.861_77.53,22.0,0.6566937951559014,2
cell_12.861_77.59,8.0,0.9886113934537812,2
cell_12.861_77.59,21.0,0.6270618662368734,3
cell_12.861_77.613,1.0,0.5596157879354227,1
cell_12.861_77.648,4.0,0.7537718023763802,1
cell_12.861_77.66,0.0,0.7537718023763802,1
cell_12.861_77.66,6.0,0.44628710262841953,2
cell_12.861_77.66,23.0,1.0836331948977138,2
cell_12.861_77.674,0.0,0.9886113934537812,1
cell_12.861_77.675,3.0,1.1786549963416462,1
cell_12.861_77.675,22.0,1.0796249009400587,3
cell_12.862_77.529,21.0,0.3184537311185346,1
cell_12.862_77.53,5.0,0.8711915979150807,6
cell_12.862_77.53,6.0,1.1620878598800863,5
cell_12.862_77.53,21.0,0.6414080621217932,4
cell_12.862_77.53,22.0,0.8387484411694335,5
cell_12.862_77.59,7.0,0.7537718023763802,1
cell_12.862_77.706,3.0,1.261651915912614,2
cell_12.863_77.53,1.0,0.8320516660688472,3
cell_12.863_77.53,5.0,0.9886113934537812,2
cell_12.863_77.53,6.0,1.1485882316551985,7
cell_12.863_77.53,21.0,0.8503433377197963,4
cell_12.863_77.53,22.0,0.6472941064235898,4
cell_12.863_77.531,6.0,1.0721589029084695,6
cell_12.863_77.531,22.0,1.261651915912614,2
cell_12.863_77.658,0.0,0.9162907318741551,1
cell_12.864_77.533,21.0,0.7537718023763802,1
cell_12.865_77.533,1.0,0.7537718023763802,1
cell_12.865_77.656,0.0,1.0560526742493137,1
cell_12.865_77.656,23.0,0.9162907318741551,1
cell_12.865_77.657,0.0,0.7537718023763802,1
