spatial_cell,organic_cluster_id,archetype_id,archetype_name,lifecycle_state
cell_13.042_77.515,143,1,Night Spillovers,Declining
cell_13.042_77.516,142,4,Freight Obstruction Corridors,Stable
cell_13.042_77.517,142,4,Freight Obstruction Corridors,Stable
cell_13.042_77.519,142,4,Freight Obstruction Corridors,Stable
cell_13.042_77.528,-1,1,Night Spillovers,Stable
cell_13.042_77.547,-1,1,Night Spillovers,Stable
cell_13.042_77.557,-1,1,Night Spillovers,Stable
cell_13.042_77.57,-1,1,Night Spillovers,Stable
cell_13.042_77.572,-1,1,Night Spillovers,Stable
cell_13.042_77.575,-1,1,Night Spillovers,Stable
cell_13.042_77.581,-1,1,Night Spillovers,Stable
cell_13.042_77.582,-1,0,Junction Choke Points,Stable
cell_13.042_77.586,-1,1,Night Spillovers,Stable
cell_13.042_77.591,383,1,Night Spillovers,Stable
cell_13.042_77.594,-1,5,Mixed Risk Zone,Stable
cell_13.042_77.611,235,1,Night Spillovers,Stable
cell_13.042_77.612,235,1,Night Spillovers,Stable
cell_13.042_77.613,235,0,Junction Choke Points,Stable
cell_13.042_77.614,235,1,Night Spillovers,Declining
cell_13.042_77.625,-1,1,Night Spillovers,Stable
cell_13.043_77.512,-1,4,Freight Obstruction Corridors,Stable
cell_13.043_77.513,-1,0,Junction Choke Points,Stable
cell_13.043_77.514,143,1,Night Spillovers,Stable
cell_13.043_77.515,143,1,Night Spillovers,Stable
cell_13.043_77.525,108,1,Night Spillovers,Stable
cell_13.043_77.551,-1,1,Night Spillovers,Stable
cell_13.043_77.552,156,4,Freight Obstruction Corridors,Stable
cell_13.043_77.553,156,5,Mixed Risk Zone,Stable
cell_13.043_77.554,156,4,Freight Obstruction Corridors,Stable
cell_13.043_77.555,156,4,Freight Obstruction Corridors,Stable
cell_13.043_77.57,-1,1,Night Spillovers,Stable
cell_13.043_77.582,-1,1,Night Spillovers,Stable
cell_13.043_77.586,-1,1,Night Spillovers,Stable
cell_13.043_77.587,-1,1,Night Spillovers,Stable
cell_13.043_77.589,383,1,Night Spillovers,Stable
cell_13.043_77.59,383,1,Night Spillovers,Declining
cell_13.043_77.591,383,4,Freight Obstruction Corridors,Stable
cell_13.043_77.6,-1,1,Night Spillovers,Stable
cell_13.044_77.509,138,1,Night Spillovers,Stable
cell_13.044_77.511,-1,1,Night Spillovers,Stable
cell_13.044_77.521,108,4,Freight Obstruction Corridors,Stable
cell_13.044_77.526,108,1,Night Spillovers,Stable
cell_13.044_77.553,156,1,Night Spillovers,Stable
cell_13.044_77.554,156,1,Night Spillovers,Stable
cell_13.044_77.557,156,4,Freight Obstruction Corridors,Stable
cell_13.044_77.571,-1,1,Night Spillovers,Stable
cell_13.044_77.584,-1,1,Night Spillovers,Stable
cell_13.044_77.585,-1,1,Night Spillovers,Stable
cell_13.044_77.59,383,4,Freight Obstruction Corridors,Stable
cell_13.044_77.591,383,4,Freight Obstruction Corridors,Stable
cell_13.044_77.601,-1,1,Night Spillovers,Stable
cell_13.044_77.602,-1,1,Night Spillovers,Stable
cell_13.044_77.605,-1,5,Mixed Risk Zone,Stable
cell_13.044_77.748,9,5,Mixed Risk Zone,Stable
cell_13.044_77.749,9,1,Night Spillovers,Stable
cell_13.044_77.761,-1,1,Night Spillovers,Stable
cell_13.045_77.5,-1,0,Junction Choke Points,Stable
cell_13.045_77.505,138,1,Night Spillovers,Stable
cell_13.045_77.506,138,1,Night Spillovers,Stable
cell_13.045_77.507,138,1,Night Spillovers,Declining
cell_13.045_77.508,138,1,Night Spillovers,Stable
cell_13.045_77.509,138,1,Night Spillovers,Stable
cell_13.045_77.522,108,1,Night Spillovers,Declining
cell_13.045_77.523,108,4,Freight Obstruction Corridors,Stable
cell_13.045_77.524,108,1,Night Spillovers,Stable
cell_13.045_77.538,-1,1,Night Spillovers,Stable
cell_13.045_77.548,155,5,Mixed Risk Zone,Stable
cell_13.045_77.557,156,1,Night Spillovers,Stable
cell_13.045_77.571,-1,1,Night Spillovers,Stable
cell_13.045_77.591,-1,4,Freight Obstruction Corridors,Stable
cell_13.045_77.601,-1,0,Junction Choke Points,Stable
cell_13.045_77.615,-1,1,Night Spillovers,Stable
cell_13.045_77.627,181,5,Mixed Risk Zone,Stable
cell_13.045_77.748,9,5,Mixed Risk Zone,Stable
cell_13.045_77.749,9,1,Night Spillovers,Stable
cell_13.045_77.75,9,1,Night Spillovers,Stable
cell_13.046_77.498,-1,5,Mixed Risk Zone,Stable
cell_13.046_77.502,-1,4,Freight Obstruction Corridors,Stable
cell_13.046_77.504,138,4,Freight Obstruction Corridors,Stable
cell_13.046_77.505,138,1,Night Spillovers,Stable
cell_13.046_77.506,138,1,Night Spillovers,Stable
cell_13.046_77.507,138,1,Night Spillovers,Stable
cell_13.046_77.508,138,1,Night Spillovers,Declining
cell_13.046_77.522,108,4,Freight Obstruction Corridors,Declining
cell_13.046_77.523,108,4,Freight Obstruction Corridors,Declining
cell_13.046_77.54,153,1,Night Spillovers,Stable
cell_13.046_77.541,153,0,Junction Choke Points,Stable
cell_13.046_77.542,153,1,Night Spillovers,Stable
cell_13.046_77.543,153,0,Junction Choke Points,Stable
cell_13.046_77.548,155,5,Mixed Risk Zone,Stable
cell_13.046_77.549,155,0,Junction Choke Points,Stable
cell_13.046_77.55,155,4,Freight Obstruction Corridors,Stable
cell_13.046_77.552,-1,1,Night Spillovers,Stable
cell_13.046_77.556,156,4,Freight Obstruction Corridors,Stable
cell_13.046_77.557,156,1,Night Spillovers,Stable
cell_13.046_77.591,-1,1,Night Spillovers,Stable
cell_13.046_77.601,-1,0,Junction Choke Points,Stable
cell_13.046_77.627,181,5,Mixed Risk Zone,Stable
cell_13.046_77.628,181,1,Night Spillovers,Stable
cell_13.046_77.75,9,0,Junction Choke Points,Stable
cell_13.046_77.751,9,1,Night Spillovers,Stable
cell_13.047_77.499,-1,1,Night Spillovers,Stable
cell_13.047_77.5,144,1,Night Spillovers,Stable
cell_13.047_77.501,144,1,Night Spillovers,Stable
cell_13.047_77.503,-1,1,Night Spillovers,Stable
cell_13.047_77.504,138,4,Freight Obstruction Corridors,Stable
cell_13.047_77.523,108,4,Freight Obstruction Corridors,Stable
cell_13.047_77.542,153,0,Junction Choke Points,Stable
cell_13.047_77.543,153,5,Mixed Risk Zone,Stable
cell_13.047_77.544,153,1,Night Spillovers,Stable
cell_13.047_77.569,-1,4,Freight Obstruction Corridors,Stable
cell_13.047_77.57,-1,1,Night Spillovers,Stable
cell_13.047_77.571,455,4,Freight Obstruction Corridors,Stable
cell_13.047_77.572,455,4,Freight Obstruction Corridors,Stable
cell_13.047_77.573,-1,1,Night Spillovers,Stable
cell_13.047_77.574,482,1,Night Spillovers,Stable
cell_13.047_77.575,-1,4,Freight Obstruction Corridors,Growing
cell_13.047_77.576,646,0,Junction Choke Points,Emerging
cell_13.047_77.58,-1,4,Freight Obstruction Corridors,Stable
cell_13.047_77.581,-1,4,Freight Obstruction Corridors,Stable
cell_13.047_77.592,-1,4,Freight Obstruction Corridors,Stable
cell_13.047_77.629,180,4,Freight Obstruction Corridors,Stable
cell_13.047_77.644,-1,1,Night Spillovers,Stable
cell_13.047_77.75,9,1,Night Spillovers,Stable
cell_13.047_77.751,9,1,Night Spillovers,Stable
cell_13.048_77.499,166,1,Night Spillovers,Stable
cell_13.048_77.501,144,1,Night Spillovers,Stable
cell_13.048_77.542,153,4,Freight Obstruction Corridors,Stable
cell_13.048_77.543,153,4,Freight Obstruction Corridors,Declining
cell_13.048_77.544,153,1,Night Spillovers,Stable
cell_13.048_77.545,153,1,Night Spillovers,Stable
cell_13.048_77.548,154,0,Junction Choke Points,Stable
cell_13.048_77.55,154,5,Mixed Risk Zone,Stable
cell_13.048_77.555,157,4,Freight Obstruction Corridors,Stable
cell_13.048_77.571,-1,4,Freight Obstruction Corridors,Stable
cell_13.048_77.572,455,1,Night Spillovers,Stable
cell_13.048_77.574,482,0,Junction Choke Points,Growing
cell_13.048_77.575,650,0,Junction Choke Points,Growing
cell_13.048_77.576,751,0,Junction Choke Points,Stable
cell_13.048_77.577,-1,1,Night Spillovers,Stable
cell_13.048_77.578,-1,1,Night Spillovers,Growing
cell_13.048_77.579,-1,4,Freight Obstruction Corridors,Stable
cell_13.048_77.592,-1,1,Night Spillovers,Stable
cell_13.048_77.629,180,5,Mixed Risk Zone,Stable
cell_13.048_77.645,78,4,Freight Obstruction Corridors,Stable
cell_13.049_77.494,149,4,Freight Obstruction Corridors,Stable
cell_13.049_77.495,149,1,Night Spillovers,Stable
cell_13.049_77.496,-1,1,Night Spillovers,Stable
cell_13.049_77.497,167,0,Junction Choke Points,Stable
cell_13.049_77.498,166,1,Night Spillovers,Stable
cell_13.049_77.499,166,1,Night Spillovers,Stable
cell_13.049_77.508,125,4,Freight Obstruction Corridors,Stable
cell_13.049_77.543,153,1,Night Spillovers,Stable
cell_13.049_77.544,153,1,Night Spillovers,Stable
cell_13.049_77.547,154,1,Night Spillovers,Stable
cell_13.049_77.548,154,1,Night Spillovers,Growing
cell_13.049_77.55,154,1,Night Spillovers,Stable
cell_13.049_77.554,157,4,Freight Obstruction Corridors,Stable
cell_13.049_77.556,-1,4,Freight Obstruction Corridors,Stable
cell_13.049_77.576,-1,5,Mixed Risk Zone,Stable
cell_13.049_77.593,476,1,Night Spillovers,Stable
cell_13.049_77.594,476,1,Night Spillovers,Declining
cell_13.049_77.629,180,1,Night Spillovers,Stable
cell_13.049_77.63,180,1,Night Spillovers,Stable
cell_13.049_77.646,78,1,Night Spillovers,Stable
cell_13.04_77.518,142,0,Junction Choke Points,Growing
cell_13.04_77.519,142,0,Junction Choke Points,Stable
cell_13.04_77.531,-1,1,Night Spillovers,Stable
cell_13.04_77.566,-1,1,Night Spillovers,Stable
cell_13.04_77.589,450,1,Night Spillovers,Stable
cell_13.04_77.59,450,1,Night Spillovers,Stable
cell_13.04_77.591,-1,1,Night Spillovers,Stable
cell_13.04_77.624,-1,1,Night Spillovers,Stable
cell_13.04_77.625,-1,1,Night Spillovers,Stable
cell_13.04_77.642,-1,4,Freight Obstruction Corridors,Stable
cell_13.051_77.486,137,4,Freight Obstruction Corridors,Stable
cell_13.051_77.489,137,1,Night Spillovers,Stable
cell_13.051_77.49,-1,4,Freight Obstruction Corridors,Stable
cell_13.051_77.492,-1,4,Freight Obstruction Corridors,Stable
cell_13.051_77.493,-1,1,Night Spillovers,Stable
cell_13.051_77.495,149,4,Freight Obstruction Corridors,Stable
cell_13.051_77.508,125,5,Mixed Risk Zone,Stable
